arm_label	run	started_kst	experiment	session	arm	mix	req_per_s	duration_min	model	seed	engine	metrics_sha256	metrics_bytes	scheduler_spec	scheduler_spec_sha256	policy_flags
FluidServe	260815_1943_exp82r1_fspfx_m1_rpm_600	2026-08-16 11:43 KST	exp82	exp82r1	fspfx	m1	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	90e55ed5996e2f1d	2515741	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0056_exp82r2_fspfx_m1_rpm_600	2026-08-16 16:56 KST	exp82	exp82r2	fspfx	m1	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	aac88e635c923409	2513766	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260815_1956_exp82r1_fspfx_m1_rpm_900	2026-08-16 11:56 KST	exp82	exp82r1	fspfx	m1	15.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	d62a4aa47dc45958	3753773	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0109_exp82r2_fspfx_m1_rpm_900	2026-08-16 17:09 KST	exp82	exp82r2	fspfx	m1	15.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	0d20725190e1fd94	3755682	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260815_2010_exp82r1_fspfx_m1_rpm_1200	2026-08-16 12:10 KST	exp82	exp82r1	fspfx	m1	20.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	861ff597a1619622	5019142	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0122_exp82r2_fspfx_m1_rpm_1200	2026-08-16 17:22 KST	exp82	exp82r2	fspfx	m1	20.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	75bc8c07182f135c	5019857	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260815_1922_exp82r1_fspfx_m1_rpm_1500	2026-08-16 11:22 KST	exp82	exp82r1	fspfx	m1	25.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	6ed6ae2de1ddb55b	6284768	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0236_exp82r2_fspfx_m1_rpm_1500	2026-08-16 18:36 KST	exp82	exp82r2	fspfx	m1	25.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	248cc25d5af13fc6	6281866	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260815_2023_exp82r1_fspfx_m1_rpm_2100	2026-08-16 12:23 KST	exp82	exp82r1	fspfx	m1	35.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	a2dedba20f6a824d	8865891	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0136_exp82r2_fspfx_m1_rpm_2100	2026-08-16 17:36 KST	exp82	exp82r2	fspfx	m1	35.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	9b11b16732242c38	8863367	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260815_2036_exp82r1_fspfx_m1_rpm_2700	2026-08-16 12:36 KST	exp82	exp82r1	fspfx	m1	45.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	fb195971672a8eff	11474537	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0154_exp82r2_fspfx_m1_rpm_2700	2026-08-16 17:54 KST	exp82	exp82r2	fspfx	m1	45.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	4890d64e3a474985	11488529	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0208_exp82r2_fspfx_m1_rpm_3300	2026-08-16 18:08 KST	exp82	exp82r2	fspfx	m1	55.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	bfb8d03006f1a001	14098909	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0607_exp82r1_fspfx_m1_rpm_3300	2026-08-16 22:07 KST	exp82	exp82r1	fspfx	m1	55.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	f54ec1379ff7a4f7	14104295	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0221_exp82r2_fspfx_m1_rpm_4200	2026-08-16 18:21 KST	exp82	exp82r2	fspfx	m1	70.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	40ccf03be6021cc8	18041520	scheduler_deploy_exp82r2_fspfx_m1.yaml	4d42df167f933b68	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
FluidServe	260816_0845_exp82r1_fspfx_m1_rpm_4200	2026-08-17 00:45 KST	exp82	exp82r1	fspfx	m1	70.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	66f764b066f1a5bf	18032842	scheduler_deploy_exp82r1_fspfx_m1.yaml	840e4b48e27b7f2d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy fluidserve --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true --fluidserve-class-harm=false --fluidserve-force-margin=false --fluidserve-own-budget-gate=false --fluidserve-prefix-aware=true
Llumnix SLO	260817_1115_exp86r1_slo_m1f_rpm_600	2026-08-18 03:15 KST	exp86	exp86r1	slo	m1f	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	daaf11cf65e88e73	2516776	scheduler_deploy_exp86r1_slo_m1f.yaml	b99f3c9d9d4a2a4d	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy slo --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
Llumnix SLO	260817_1443_exp86r2_slo_m1f_rpm_600	2026-08-18 06:43 KST	exp86	exp86r2	slo	m1f	10.0	8.0	meta-llama/Meta-Llama-3.1-70B-Instruct	42	llumnix	d4fb67b998c15211	2516619	scheduler_deploy_exp86r2_slo_m1f.yaml	1f39a604ec848aec	--port 8088 -v 4 --host 0.0.0.0 --llm-backend-discovery redis --discovery-redis-host redis --discovery-redis-port 6379 --cms-redis-host redis --cms-redis-port 6379 --cms-pull-status-interval-ms 500 --cms-pull-metadata-interval-ms 10000 --enable-full-mode-scheduling=true --colocated-rescheduling-mode=true --rescheduling-policies neutral_load,neutral_failover --rescheduling-neutral-load-threshold 0.003 --rescheduling-load-balance-threshold 0.1 --rescheduling-interval-ms 500 --admission-kv-usage-threshold 0 --scheduling-policy slo --ttft-slo 5000 --tpot-slo 50 --ttft-slo-dispatch-threshold 0.9 --tpot-slo-dispatch-threshold 0.9 --ttft-profiling-data-path /profiling/ttft.json --tpot-profiling-data-path /profiling/tpot.json --polyserve-tier-decode-tokens 25:494,50:428,100:985 --fluidserve-profile-path /profiling/fluidserve.json --fluidserve-class-budgets 25:e2e:30000,50:decode,100:decode --fluidserve-horizon-steps 100 --fluidserve-z-safety 1.65 --fluidserve-enable-pend=true --fluidserve-enable-shed=true --fluidserve-enable-affinity=true --fluidserve-enable-flux=true
